,Relation Type,E1,E2,FACT
32,喜欢,萧炎,美杜莎,闻言，萧炎顿时一愣，旋即有些尴尬，苦笑着摇了摇头，彩鳞的事，原本当初只是一场充满春意的邂逅，但在那之后，随着逐渐的接触与了解，对于那冷傲动人的美杜莎女王，萧炎不得不承认，对得她开始出现了一些复杂的情感，特别是…彩鳞那疑似怀孕的事…
33,亲人,我,家珍,家珍当初要是嫁了别人，不跟着我受罪，也不会累成这样，得这种病。
34,同级同伴,叶文洁,伊文斯,"那两间土坯房还是原样，但伊文斯不在里面，叶文洁在树林里找到了他，他正拿着一把斧子一心一意地修剪树枝，显然已经干了很久，一副疲惫不堪的样子。
 
 “不管有没有意义，我不能停下来，停下来我会崩溃的。”伊文斯说，熟练地砍下一条歪枝。
 
 “我们一起去县里找政府，不行就去省城，总会有人制止他们的。”叶文洁关切地看着他。"
35,喜欢,罗辑,庄颜,罗辑在开始时又有了笑的冲动，他努力抑制着，但很快，这种抑制变得容易起来，因为庄颜清澈的目光再次拨动了他的心弦。一切都湮没在爱情的创世之光中。
36,喜欢,萧炎,小医仙,而或许也正是因为萧炎对小医仙所准备的食物等等东西全然来者不拒，所以经过半个月的相处。小医仙对待萧炎的态度，也是越来越和善。乃至越来越温柔，当然，这里的温柔，全然没有男女间的情感。萧炎直接也能够察觉，小医仙，只是将他当做一位可以视为知己的男性朋友。
37,亲人,萧炎,萧媚,伤了他的人，不管日后对他如何，他恐怕都会很难接受，这一点上，萧媚如此，那纳兰嫣然，也是如此，在当年萧媚选择疏离与萧炎的关系以及纳兰嫣然前来萧家退婚时，薰儿都说过一句话：“希望你日后不要后悔
38,亲人,狗儿,刘氏,王成亦相继身故，有子小名狗儿，娶妻刘氏，生子小名板儿，又生一女，名唤青儿：一家四口，以务农为业。
39,喜欢,萧炎,小医仙,手掌冲着有些惊愕的小医仙晃了晃，萧炎面色也是逐渐沉重，缓缓地道：“若你还当我是朋友，便不要再继续下去，你这样的话，只会加快厄难毒体的爆发，一旦等它彻底爆发的那一刻，恐怕十里之内，将会人兽不存，而那时候，一切都晚了。”
40,喜欢,萧炎,小医仙,在石台一旁，小医仙目光怔怔的望着那火焰之中的萧炎，许久之后，终于是幽幽一叹。“一年了。“你还不醒来么。”
41,上下级,萧炎,药老,“老师会帮你的，即便代价是这条老命，药老轻轻拍了拍萧炎的肩膀，笑道：“若是你父亲能够知道当年的那个小男孩如今已是能够独当一面的强者，应该也会很开心的。”
42,亲人,萧炎,萧媚,望着萧媚那黯淡的脸色，薰儿也只得保持着沉默对萧炎极其了解，这个看似温和的男人，内心却是无比高傲，萧媚当年伤了他，不管是有意还是无意，主动还是被动，她，都是永远失去了彻底修复双方关系的机会。
43,喜欢,萧炎,云韵,“小家伙，你真是长大了啊，呵呵，现在云岚宗成了这般模样，我也想要出去走走，或许什么时候想开了，就会再次回来，到时候你若是还希望我留下帮你，我应该不会再拒绝。”云韵玉手缓缓伸出，温柔的抚摸着萧炎的脸庞，云韵柔声道。感受着脸庞上传来的柔软触感，萧炎面色也是逐渐柔和，对于面前的女子，他不可能是没有一点感觉。
44,亲人,凤霞,有庆,有庆翻了个身，把手搁在凤霞嘴上，像是打他姐姐巴掌似的。凤霞睡着后像只小猫，又乖又安静，一动不动。 有庆早晨醒来一看到他姐姐，使劲搓眼睛，搓完眼睛看看还是凤霞，衣服不穿就从床上跳下来，张着个嘴一声声喊：“姐姐，姐姐。”
45,上下级,萧炎,药老,望着那在火焰升腾间，脸庞上痛苦之色减弱了一些的萧炎，药老微微一笑，这才带着眉宇之间的那疲惫之色，与风尊者悄悄的退出了这石塔。
46,亲人,萧炎,萧媚,"心中舒了一口气，萧炎这话，让得萧媚脸颊上多出了一抹笑容，点了点头。

    “好了，我也得先回去了，记得，有来若琳导师那里找我。”萧炎笑了笑，拍了拍萧媚肩膀，旋即便是转身对着小道外面行去。

    站在原地，萧媚望着那远去的背影，忽地展颜一笑，这似乎是个打破彼此僵局的机会吧？"
47,上下级,萧炎,药老,"萧炎目光淡漠的瞧得那脸色突然间煞白的韩枫，道：“托你的福，让我遇见了老师，不然的话，我这修炼之路，…附会少了许多精彩。”

    “老师？”韩枫眼瞳微微一缩，目光盯着萧炎眨也不眨，脸庞上刚、开始出现的煞白倒是微微消减了许多，眼芒闪烁旬，更加浓郁的杀意涌现脸庞，药老未死的消息对于他来说，几乎如惊雷般，身为药老曾经的弟子"
48,上下级,探春,丫鬟,迎春姊妹三个告了坐方上来，迎春坐右手第一，探春左第二，惜春右第二。旁边丫鬟执著拂尘漱盂巾帕。李纨凤姐立于案旁布让。外间伺候的媳妇丫鬟虽多，却连一声咳嗽不闻。饭毕，各各有丫鬟用小茶盘捧上茶来。当日林家教女以惜福养身，每饭后必过片时方吃茶，不伤脾胃。今黛玉见了这里许多规矩不似家中，也只得随和著些。接了茶，又有人捧过漱盂来，黛玉也漱了口。又盥手毕，然后又捧上茶来，这方是吃的茶。
49,对立,薛公子,冯渊,且说那买了英莲打死冯渊的那薛公子亦系金陵人氏，本是书香继世之家。
50,喜欢,萧炎,小医仙,听得那细微的入水声，萧炎也是轻松了一口气，转过身，便是见到小医仙正蜷缩在木盆之中，只将那小脑袋给露出水面，俏美脸颊上，尽是动人羞红。
51,亲人,筛海·革哇默定,撒阿都定,“是在大来真宗至道二年，也就是伊斯兰历二百九十五年，西历九百九十六年，筛海·革哇默定从西域来到中国，”老者缓缓地说，他丝毫没有嘲笑梁亦清的意思，因为这年代也实在是过于久远了，“他有三个儿子，长子叫赛德鲁定，次子叫那速鲁定，三子叫撒阿都定，都是饱学之士。
52,亲人,赦政二公,贾敏,现有对证：目今你贵东家林公的夫人即荣府中赦政二公的胞妹，在家时名唤贾敏。
53,对立,萧炎,白程,"还是那句话，内院有内院的规矩，不管你在外面是何身份，潜力如何，没有实力前，就得趴着，可你，没有实力，却依然敢这般狂妄嚣张，无疑是自取其辱”，白程冷笑道。

    见到萧炎被白程这般大庭广众之下肆意斥责"
54,亲人,罗辑,庄颜,一天中最柔美的阳光撒在雪山、湖泊和森林上，在湖边的草坪上，罗辑一家正在享受着这尘世之外的黄昏。泰勒首先注意到的是那位美丽的母亲，庄颜仍是少女的样子，倒像是那个一周岁的孩子的姐姐。
55,亲人,韩天星,陈淑彦,韩天星和陈淑彦虽然没有像和容桂芳那样的深交，没有那样的痴情，可是，要说淑彦怎么不好，他说不出来，那样太屈心了！他要是回家因为淑彦而和妈妈大吵大闹，那就太对不起自己的妻子了！
56,同级同伴,我,春生,"我们连里有十来个都是十五六岁的孩子，有一个叫春生的娃娃兵，是江苏人，他老向我打听往北去是不是打仗，我就说是的。其实我也不知道，我想当上了兵就逃不了要打仗。春生和我最亲热，他总是挨着我，拉着我的胳膊问说：
 “我们会不会被打死？”"
57,喜欢,萧炎,萧媚,"“萧炎表哥！”望着萧炎那即将下楼的身影，萧媚紧握着纤手，终于是忍不住的喊了一声。

    “嗯？”萧炎转头，目光扫向少女。"
58,对立,萧炎,白山,狠辣一击被阻，白山脸色没有丝毫变化，手臂陡然一震，带着如同电光一般的银色气，顺着银色长枪暴涌而出，最后化为几条虚幻的银色枪影，诡异的绕开重尺，对着其后面的萧炎脑袋刺去。
59,对立,智子,人类,智子下达了消灭保留区外所有人类的命令，治安军彻底变成了魔鬼。他们驾驶着飞行车端着激光狙击枪，在空寂的城市和原野上像猎鹰一样盘旋，见到人类就杀。
60,对立,萧炎,白程,狠狠的咬了咬牙，手掌紧握着长枪，白程眼睛死死的盯着越加接近的萧炎，眼中掠过一抹寒芒，他清楚这一场战斗对他代表着什么
61,喜欢,萧炎,云韵,想到这里，萧炎心中忽然多了一抹难以言明的情绪，转身回走了几步，站在云韵面前，两目对视。
62,对立,萧炎,冰元,冰元缓缓点了点头，森冷的目光从萧炎身上收回，然后转向小医仙，冷笑道：“放心，等将你檎下后，老夫会让你看看这嚣张会是何种下场。“
63,对立,萧炎,白山,“等等。”萧炎手一伸，却是将白山阻拦了下来，后者眉头一皱，冷声道：“你又怎么了？”
64,对立,萧炎,穆力,艰难地撑起身子，穆力斜靠在石壁之上，重重的出了一口气，眼瞳中，闪过一抹狰狞，拳头重重的砸在石面上，森然道：“萧炎小杂种，别让我逮着你，不然定要你求生不能，求死不得！”
65,喜欢,萧炎,薰儿,被萧炎握住手，薰儿脸颊上也是浮现一抹外人极难见到的娇羞，但却并未挣脱，与萧炎分开这么多年，那份感情不仅未曾淡化，反而是在时间的推移间，沉淀得越的温醇，弥漫着全身的每一处。
66,喜欢,萧炎,云韵,"在脸颊通红的那一瞬间，一道惊叫之声，也是自云韵嘴中传出，旋即其玉手猛的一挥，劲风舞动，床榻上的柔软被子便是掀飞而起，将那动人玉体，彻底包裹。

    娇躯隐藏在被中，云韵脸色方才略微了一些，抬起俏脸，羞恼的盯了萧炎一眼，道：“你还看？”"
67,亲人,冰沙王子,深水王子,冰沙王子看着深水王子说：“我的哥哥，欢迎你和妹妹回来，但你们要明白，这是我的王国，我是国王，你们必须立刻宣布臣服于我。”
68,喜欢,萧炎,萧媚,“对了，能跟我走走么？我想告诉你一点事。”就在萧媚黯然离开时，微笑的声音，却是忽然响起，让得她身体当场僵硬，急忙回转过头，却是瞧见萧炎那柔和的脸庞，怔了怔，旋即急忙点头，然后顾不得和身旁的少女们打招呼，赶紧在少女们艳羡的目光中，快步跟上了萧炎。
69,同级同伴,章北海,吴岳,常伟思将军示意大家坐下，把军帽端正地放在面前的会议桌上后，他说：“太空军正式成立的仪式将在明天上午举行，军装和肩章、领章也要那时才能发放到各位手上，不过，同志们，我们现在已经同属一个军种了。” “首长，我们真的没想到。”章北海说，他旁边的吴岳则一动不动地笔直坐着，章北海敏锐地发现，舰长那平视前方的双眼中，有什么东西熄灭了。
70,喜欢,萧炎,云韵,"炎偏过头来，望着微张着红唇，绝美脸颊上满是错愕的云韵，轻咳了一声，笑道。

    “还是这么喜欢逞强……”"
71,喜欢,云天明,程心,云天明当然记得，那是程心第一次坐在他身边，第一次和他说话；事实上，如果程心在以后的大学四年里都不理他，他可能也未必敢主动找她说话。当时他一个人坐在那里看着密云水库宽阔的水面，程心过来坐下问他平时都喜欢些什么，然后他们攀谈起来，并不停地向水中扔小石子，谈的都是刚认识的同学最一般的话题，但云天明至今清晰地记得每一个字。后来，程心叠了一只小纸船放进水中，在微风的吹送下，那只雪白的纸船向远方慢慢驶去，最后变成一个小白点……那是他大学生活中最阳光明媚的一天。事实上那天天气并不好，下着蒙蒙细雨，水面上罩着雨纹，他们扔的小石子都湿漉漉的，但从那天起，云天明就爱上了小雨天，爱上了湿地的气息和湿漉漉的小石子，还常常叠一只小纸船放在自己的案头。
72,同级同伴,云天明,程心,“云天明，我代表联合国行星防御理事会战略情报局问你：你愿意尽一个人类公民的责任，接受这个使命吗？这完全是自愿，你可以拒绝。” 程心说。“好的，我接受。”他说。
73,亲人,探春,贾母,如今且说林黛玉自在荣府以来，贾母万般怜爱，寝食起居一如宝玉，迎春、探春、惜春三个亲孙女倒且靠后了。
74,喜欢,萧炎,云韵,"那位黄衣女子一笑，目光看向云韵,嘴角有着一抹莫名的意味：“云韵，据说你与那萧炎，很是有些关系？这等人物,若是能够拉到我花宗，那可才是有些了不得哦。”"
75,亲人,萧炎,萧媚,"“萧炎表哥。”

    在萧炎脚步不急不缓的行时，一道有些怯怯的声音，却是忽然在前方响起，听得着声音，萧炎脚步顿住开虚眯的眼眸，望向前方，却是见到一群活泼俏丽的少女，而在这群少女之中，萧媚正犹如众星拱月般的被簇拥着，说实话萧媚的容貌，即使是在整个学院中，也能算做拔尖而此时的她，正有些拘束的望着走过来的萧炎，这个仅仅用了不到十天时间声望便是在这所云集了无数天才的学院中达到了顶峰的青年。"
76,同一人,可儿,兼美,秦钟一一的答应，回家禀知他父亲。他父亲秦邦业，现任营缮司郎中，年近七旬，夫人早亡。因年至五旬时尚无儿女，便向养生堂抱了一个儿子和一个女儿。谁知儿子又死了，只剩下个女儿，小名叫做可儿，又起个官名，叫做兼美，长大时，生得形容袅娜，性格风流。因素与贾家有些瓜葛，故结了亲。秦邦业却于五十三岁上得了秦钟，今年十二岁了。
77,喜欢,萧炎,云韵,感受着萧炎话语中那份悲凉愤怒，云韵纤手紧握，指甲刺得掌心生疼，她能够知道前者此刻心中那种愤怒的痛苦，而云岚宗这些年所做的事，她也是没有丝毫的辩驳理由。
78,喜欢,萧炎,小医仙,看来，萧炎的这原本是出于一些同情心的举动，却是误打误撞的赢得了小医仙真正的全部信任，而对此，萧炎也是未曾意料。
79,对立,ETO,罗辑,"“他们三个呢？”罗辑问。
 
 大史马上就明白他指的是谁，“都很好，他们没有你这么轻率，一个人走到外面。”
 
 “是ETO要杀我们吗？”
 
 “应该是吧，凶手已经被捕了，幸亏我们在你后面布置了蛇眼。”"
80,亲人,薛蟠,贾政,薛蟠拜见过贾政贾琏，又引著见了贾赦贾珍等。贾政便使人进来对王夫人说：“姨太太已有了年纪，外甥年轻不知庶务，在外住著，恐怕又要生事。偺们东南角上梨香院那一所十来间房，白空闲著，叫人请了姨太太和姐儿哥儿住了甚好。”
81,亲人,有庆,家珍,有庆躺在坑里，越看越小，不像是活了十三年，倒像是家珍才把他生出来，我用手把土盖上去，把小石子都捡出来，我怕石子硌得他身体疼。
82,上下级,针眼,空灵大师,“我的王，这是我的老师，空灵大师。”针眼说。
83,喜欢,萧炎,云韵,"短短几句话，可却是犹如用尽了体内所有力气一般，随着最后一句话的落下，云韵明眸也是变得暗淡无光了起来，那般颓然，看得人心疼不已。

    狠着，不去看云韵的神色，萧炎声音低沉的道：“希望你能做到，若是宗内有若执意不服，那我会出手。"
84,对立,叶文洁,杨卫宁,"审问者：调查发现，在红岸基地工作期间，你有杀人嫌疑。
 
  叶文洁：我杀死过两个人。
 
  审问者：时间？
 
  叶文洁：1979年10月21日下午。
 
  审问者：受害者的姓名？
 
  叶文洁：基地政委雷志成和基地工程师、我的丈夫杨卫宁。"
85,同级同伴,希恩斯,罗辑,希恩斯庄重地对罗辑说：“罗辑博士，我刚刚被任命为联合国面壁计划委员会与您的联络人，现在奉命通知您：面壁计划已经恢复，您被指定为唯一的面壁者。”
86,亲人,萧炎,萧媚,“唉，当年的事，过去便过去了吧，如今是小孩子了，总惦记着也没啥用。”萧炎目光停留在波光粼的湖面上，旋即转过头，望着萧媚那怯生生的模样，道：“不管如何，你总是我表妹后有事，就来找我，虽然在加玛帝国我还没有实力保住家族的命运，可在这迦南学院里，却是能够让我萧家之人不受欺凌。”
87,亲人,天星,陈淑彦,“逛公园？”天星迟疑地站住了。“嗯，咱去歇会儿，聊聊，划划船，”陈淑彦极有兴致地煽动他，“跟你认识这么长时间，你都没陪人家逛过一回公园，糊里糊涂地结婚了，等于没搞对象！天星，给我补上吧，啊？”
88,亲人,筛海·革哇默定,赛德鲁定,“是在大来真宗至道二年，也就是伊斯兰历二百九十五年，西历九百九十六年，筛海·革哇默定从西域来到中国，”老者缓缓地说，他丝毫没有嘲笑梁亦清的意思，因为这年代也实在是过于久远了，“他有三个儿子，长子叫赛德鲁定，次子叫那速鲁定，三子叫撒阿都定，都是饱学之士。
89,亲人,贾母,惜春,原来近日贾母说孙女们太多，一处挤著倒不便，只留宝玉黛玉二人在这边解闷，却将迎春、探春、惜春三人移到王夫人这边房后三间抱厦内居住，令李纨陪伴照管。
90,上下级,萧炎,药老,萧炎笑了笑，再度将两种火焰融合成琉璃莲心火，抬头对着药老好奇的道：“老师，您看我这融合出来的琉璃莲心火，能在异火榜上排多少名？”
91,对立,安东诺夫,A·J·霍普金斯,一个秃顶的老男人打断了安东诺夫的话，他叫A·J·霍普金斯，他与安东诺夫一起，被认为是候选人中最具威慑力的两位。
92,对立,萧炎,云棱,手掌缓缓颤抖着，云棱胸口不断的起伏着，忍着剧痛抬起头来，那张苍老的面庞，在此刻变得极为狰狞，双眼怨毒的盯着天空上的萧炎，那模样，恨不得将对方碎尸万段般。
93,上下级,楚雁潮,新月,楚雁潮匆匆擦去眼泪，“但是请您……决不要告诉新月，我作为她的老师，求您了……”
94,亲人,我,家珍,凤霞嫁到了城里，我和家珍就跟丢了魂似的，怎么都觉得心慌。往常凤霞在屋里进进出出也不怎么觉得，如今凤霞一走，屋里就剩我和家珍，两个人看来看去，都看了几十年了，像是还没看够。
95,同级同伴,北海,吴岳,“北海，以后的工作在分量上可不比以前，既然我们一起到了这个位置上，我想我们之间应该多沟通沟通。”吴岳说。
96,亲人,王夫人,黛玉,原来近日贾母说孙女们太多，一处挤著倒不便，只留宝玉黛玉二人在这边解闷，却将迎春、探春、惜春三人移到王夫人这边房后三间抱厦内居住，令李纨陪伴照管。
97,喜欢,萧炎,薰儿,在被萧炎忽然握住小手时，薰儿娇躯便是轻轻一颤，拿着目光，有些做贼心虚的看了看附近的若琳导师和萧玉等人，瞧们并未现萧炎的举动时，方才松了口气，转头望着萧炎，低声嗔道：“萧炎哥哥。”
98,喜欢,奥立佛,梁小姐,为什么不？我是一个活着的人，有权利生活，有权利爱！”奥立佛的一双黑眼睛迸射着炽烈的火焰，在他胸中积聚了三年的情感，一旦冲出了口，就再也收不住了，“冰玉，梁小姐，你知道吗？我爱你！自从你第一天出现在我的面前，我就被你征服了，我只属于你！
99,对立,萧炎,白程,“嘿，萧炎，咳……看来连老天都是站在我这一边啊。”感觉着萧炎拳头之上随着时间转移而逐渐减弱的劲力，白程苍白的脸庞上忍不住的浮现笑容，阴声嘶哑道。
100,亲人,天星,淑彦,天星讪讪地笑了，他不是不想答理妻子，淑彦对他好，对他真，他心里都知道，就是嘴里不会表示温存。“说……说什么？你说吧！”
101,喜欢,萧炎,薰儿,目光转向一旁的薰儿，望着那张清雅绝色的脸颊，萧炎心头也是涌上许些不舍，道：“现在就要走？”
102,喜欢,萧炎,云韵,萧炎微微点头，这点他并不意外，以云韵的性子，就算真遇见什么解决不了的麻烦，恐怕也不会跑来找他，这个女人，倔强的让人心疼。
103,喜欢,萧炎,薰儿,见到萧炎开始炼制，薰儿脸颊上的红霞方才微微变淡，轻轻点了点头，然后轻手轻脚的退出房间，反手将房门关上，这才素手碰了碰嘴唇，眸子中泛起一抹柔情。
104,喜欢,萧炎,薰儿,"薰儿娇躯一颤”精致的脸颊被羞红所充斥着，眼眸中，却是洋溢着激动与幸福，为了这一天，萧炎这一句话，她可是等待了好多年，不过所幸,即便现在听见”心中依然如同小鹿跳动般的紧张与激动。"
105,对立,章北海,钢印族,"“如果有一天我不得不杀了你，请原谅。”章北海轻声说。
 
 东方延绪对这话付之一笑，“你看我像钢印族吗？”"
106,喜欢,萧炎,小医仙,磨挲着还带着点点温暖温度的玉瓶，萧炎微微一笑，虽然这解毒丸对他这炼药师来说没多大的用处，可小医仙这番心意，却实在是让得他有些感动。
107,上下级,宝玉,茗烟,想毕，也装出小恭去，走至后面，悄悄把跟宝玉的书童茗烟叫至身边，如此这般，调拨他几句。
108,对立,萧炎,萧宁,眼角一跳，望着替萧炎出头的薰儿，萧宁心头妒火更盛，狠狠的剐了他一眼，嘲讽道：“你就知道躲女人身后？”
109,上下级,楚雁潮,新月,“楚老师，您该回去了，”新月看了看黯淡的窗户，不安地说，“路很远呢，天又不好……”楚雁潮只好站起身来，拿起靠在墙边的雨伞，叮嘱说：“记住，心要静，神要安，等着我，下次再见面！”
